('neg', 0.0):('neu', 0.753):('pos', 0.247):('compound', 0.3182)
('neg', 0.325):('neu', 0.675):('pos', 0.0):('compound', -0.3412)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.117):('neu', 0.745):('pos', 0.138):('compound', 0.101)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.137):('neu', 0.863):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 0.607):('pos', 0.393):('compound', 0.3804)
('neg', 0.0):('neu', 0.863):('pos', 0.137):('compound', 0.1877)
('neg', 0.161):('neu', 0.484):('pos', 0.355):('compound', 0.34)
('neg', 0.0):('neu', 0.761):('pos', 0.239):('compound', 0.5256)
('neg', 0.215):('neu', 0.577):('pos', 0.208):('compound', -0.0643)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.338):('neu', 0.662):('pos', 0.0):('compound', -0.6896)
('neg', 0.19):('neu', 0.81):('pos', 0.0):('compound', -0.6597)
('neg', 0.169):('neu', 0.608):('pos', 0.223):('compound', 0.2023)
('neg', 0.0):('neu', 0.935):('pos', 0.065):('compound', 0.2732)
('neg', 0.156):('neu', 0.844):('pos', 0.0):('compound', -0.34)
('neg', 0.305):('neu', 0.695):('pos', 0.0):('compound', -0.5709)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.74):('pos', 0.26):('compound', 0.2755)
('neg', 0.12):('neu', 0.663):('pos', 0.217):('compound', 0.3818)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.897):('pos', 0.103):('compound', 0.2411)
('neg', 0.0):('neu', 0.579):('pos', 0.421):('compound', 0.6249)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.271):('neu', 0.571):('pos', 0.157):('compound', -0.3818)
('neg', 0.0):('neu', 0.526):('pos', 0.474):('compound', 0.5439)
('neg', 0.298):('neu', 0.702):('pos', 0.0):('compound', -0.6251)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.444):('neu', 0.556):('pos', 0.0):('compound', -0.6113)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.0):('pos', 0.0):('compound', 0.0)
('neg', 0.285):('neu', 0.715):('pos', 0.0):('compound', -0.1513)
('neg', 0.608):('neu', 0.392):('pos', 0.0):('compound', -0.4767)
('neg', 0.0):('neu', 0.357):('pos', 0.643):('compound', 0.2023)
('neg', 0.688):('neu', 0.312):('pos', 0.0):('compound', -0.296)
('neg', 0.158):('neu', 0.842):('pos', 0.0):('compound', -0.3071)
('neg', 0.261):('neu', 0.522):('pos', 0.216):('compound', -0.1531)
